dataset_id,persistentUrl,publicationdate,title,subject,keywordValue,keywordVocabulary,keywordVocabularyURI
52587,https://doi.org/10.7910/DVN/XFE82C,2011-06-23,,,,,
52588,https://doi.org/10.7910/DVN/28703,2015-01-16,Increasing Food Security and Farming System Resilience in East Africa through Wide-Scale Adoption of Climate-Smart Agricultural Practices,Earth and Environmental Sciences,Climate Smart Agriculture,,
52588,https://doi.org/10.7910/DVN/28703,2015-01-16,Increasing Food Security and Farming System Resilience in East Africa through Wide-Scale Adoption of Climate-Smart Agricultural Practices,Earth and Environmental Sciences,Food Security,,
52588,https://doi.org/10.7910/DVN/28703,2015-01-16,Increasing Food Security and Farming System Resilience in East Africa through Wide-Scale Adoption of Climate-Smart Agricultural Practices,Earth and Environmental Sciences,Land Health,,
52588,https://doi.org/10.7910/DVN/28703,2015-01-16,Increasing Food Security and Farming System Resilience in East Africa through Wide-Scale Adoption of Climate-Smart Agricultural Practices,Earth and Environmental Sciences,Soil,,
52588,https://doi.org/10.7910/DVN/28703,2015-01-16,Increasing Food Security and Farming System Resilience in East Africa through Wide-Scale Adoption of Climate-Smart Agricultural Practices,Earth and Environmental Sciences,Socio-Economic,,
52588,https://doi.org/10.7910/DVN/28703,2015-01-16,Increasing Food Security and Farming System Resilience in East Africa through Wide-Scale Adoption of Climate-Smart Agricultural Practices,Earth and Environmental Sciences,Adaptation,,
52588,https://doi.org/10.7910/DVN/28703,2015-01-16,Increasing Food Security and Farming System Resilience in East Africa through Wide-Scale Adoption of Climate-Smart Agricultural Practices,Earth and Environmental Sciences,Mitigation,,
52588,https://doi.org/10.7910/DVN/28703,2015-01-16,Increasing Food Security and Farming System Resilience in East Africa through Wide-Scale Adoption of Climate-Smart Agricultural Practices,"Medicine, Health and Life Sciences",Climate Smart Agriculture,,
52588,https://doi.org/10.7910/DVN/28703,2015-01-16,Increasing Food Security and Farming System Resilience in East Africa through Wide-Scale Adoption of Climate-Smart Agricultural Practices,"Medicine, Health and Life Sciences",Food Security,,
52588,https://doi.org/10.7910/DVN/28703,2015-01-16,Increasing Food Security and Farming System Resilience in East Africa through Wide-Scale Adoption of Climate-Smart Agricultural Practices,"Medicine, Health and Life Sciences",Land Health,,
52588,https://doi.org/10.7910/DVN/28703,2015-01-16,Increasing Food Security and Farming System Resilience in East Africa through Wide-Scale Adoption of Climate-Smart Agricultural Practices,"Medicine, Health and Life Sciences",Soil,,
52588,https://doi.org/10.7910/DVN/28703,2015-01-16,Increasing Food Security and Farming System Resilience in East Africa through Wide-Scale Adoption of Climate-Smart Agricultural Practices,"Medicine, Health and Life Sciences",Socio-Economic,,
52588,https://doi.org/10.7910/DVN/28703,2015-01-16,Increasing Food Security and Farming System Resilience in East Africa through Wide-Scale Adoption of Climate-Smart Agricultural Practices,"Medicine, Health and Life Sciences",Adaptation,,
52588,https://doi.org/10.7910/DVN/28703,2015-01-16,Increasing Food Security and Farming System Resilience in East Africa through Wide-Scale Adoption of Climate-Smart Agricultural Practices,"Medicine, Health and Life Sciences",Mitigation,,
52588,https://doi.org/10.7910/DVN/28703,2015-01-16,Increasing Food Security and Farming System Resilience in East Africa through Wide-Scale Adoption of Climate-Smart Agricultural Practices,Social Sciences,Climate Smart Agriculture,,
52588,https://doi.org/10.7910/DVN/28703,2015-01-16,Increasing Food Security and Farming System Resilience in East Africa through Wide-Scale Adoption of Climate-Smart Agricultural Practices,Social Sciences,Food Security,,
52588,https://doi.org/10.7910/DVN/28703,2015-01-16,Increasing Food Security and Farming System Resilience in East Africa through Wide-Scale Adoption of Climate-Smart Agricultural Practices,Social Sciences,Land Health,,
52588,https://doi.org/10.7910/DVN/28703,2015-01-16,Increasing Food Security and Farming System Resilience in East Africa through Wide-Scale Adoption of Climate-Smart Agricultural Practices,Social Sciences,Soil,,
52588,https://doi.org/10.7910/DVN/28703,2015-01-16,Increasing Food Security and Farming System Resilience in East Africa through Wide-Scale Adoption of Climate-Smart Agricultural Practices,Social Sciences,Socio-Economic,,
52588,https://doi.org/10.7910/DVN/28703,2015-01-16,Increasing Food Security and Farming System Resilience in East Africa through Wide-Scale Adoption of Climate-Smart Agricultural Practices,Social Sciences,Adaptation,,
