dataset_id,persistentUrl,publicationdate,title,subject,keywordValue,keywordVocabulary,keywordVocabularyURI
48850,https://doi.org/10.7910/DVN/29634,2015-03-26,Replication Data for: Projected shifts in Coffea arabica suitability among major global producing regions due to climate change,Earth and Environmental Sciences,Coffea arabica,AGROVOC,http://aims.fao.org/aos/agrovoc/c_1721
48850,https://doi.org/10.7910/DVN/29634,2015-03-26,Replication Data for: Projected shifts in Coffea arabica suitability among major global producing regions due to climate change,Earth and Environmental Sciences,Latin America and the Caribbean,CIAT Region,
48850,https://doi.org/10.7910/DVN/29634,2015-03-26,Replication Data for: Projected shifts in Coffea arabica suitability among major global producing regions due to climate change,Earth and Environmental Sciences,Decision and Policy Analysis - DAPA,CIAT Research Area,
53088,https://doi.org/10.7910/DVN/DYR7KS,2012-06-20,Manual para la evaluacion agronomica,Earth and Environmental Sciences,Pastures,AGROVOC,http://aims.fao.org/aos/agrovoc/c_5626
53088,https://doi.org/10.7910/DVN/DYR7KS,2012-06-20,Manual para la evaluacion agronomica,Earth and Environmental Sciences,Acid soils,AGROVOC,http://aims.fao.org/aos/agrovoc/c_89
53088,https://doi.org/10.7910/DVN/DYR7KS,2012-06-20,Manual para la evaluacion agronomica,Earth and Environmental Sciences,Savannas,AGROVOC,http://aims.fao.org/aos/agrovoc/c_6825
53088,https://doi.org/10.7910/DVN/DYR7KS,2012-06-20,Manual para la evaluacion agronomica,Earth and Environmental Sciences,Agroclimatic zones,AGROVOC,http://aims.fao.org/aos/agrovoc/c_28638
53088,https://doi.org/10.7910/DVN/DYR7KS,2012-06-20,Manual para la evaluacion agronomica,Earth and Environmental Sciences,Pest insects,AGROVOC,http://aims.fao.org/aos/agrovoc/c_5729
53088,https://doi.org/10.7910/DVN/DYR7KS,2012-06-20,Manual para la evaluacion agronomica,Earth and Environmental Sciences,Soil toxicity,AGROVOC,http://aims.fao.org/aos/agrovoc/c_7201
53088,https://doi.org/10.7910/DVN/DYR7KS,2012-06-20,Manual para la evaluacion agronomica,Earth and Environmental Sciences,Soil analysis,AGROVOC,http://aims.fao.org/aos/agrovoc/c_7198
53088,https://doi.org/10.7910/DVN/DYR7KS,2012-06-20,Manual para la evaluacion agronomica,Earth and Environmental Sciences,Information processing,AGROVOC,http://aims.fao.org/aos/agrovoc/c_3862
53088,https://doi.org/10.7910/DVN/DYR7KS,2012-06-20,Manual para la evaluacion agronomica,Earth and Environmental Sciences,Tropical zones,AGROVOC,http://aims.fao.org/aos/agrovoc/c_7979
53088,https://doi.org/10.7910/DVN/DYR7KS,2012-06-20,Manual para la evaluacion agronomica,Earth and Environmental Sciences,Latin America,AGROVOC,http://aims.fao.org/aos/agrovoc/c_4221
53088,https://doi.org/10.7910/DVN/DYR7KS,2012-06-20,Manual para la evaluacion agronomica,Earth and Environmental Sciences,Latin America and the Caribbean,CIAT Region,
53088,https://doi.org/10.7910/DVN/DYR7KS,2012-06-20,Manual para la evaluacion agronomica,Earth and Environmental Sciences,Agrobiodiversity - AGBIO,CIAT Research Area,
53089,https://doi.org/10.7910/DVN/28944,2015-02-19,"Land and Soil Health Assessment in the Maringa-Lopori-Wamba (MLW) Landscape, Djolu, Yamboyo, DRC as part of the CARPE Phase II-Sustainable Opportunities for Improving Livelihoods Project",Earth and Environmental Sciences,Land health,,
53089,https://doi.org/10.7910/DVN/28944,2015-02-19,"Land and Soil Health Assessment in the Maringa-Lopori-Wamba (MLW) Landscape, Djolu, Yamboyo, DRC as part of the CARPE Phase II-Sustainable Opportunities for Improving Livelihoods Project",Earth and Environmental Sciences,Soil health,,
53089,https://doi.org/10.7910/DVN/28944,2015-02-19,"Land and Soil Health Assessment in the Maringa-Lopori-Wamba (MLW) Landscape, Djolu, Yamboyo, DRC as part of the CARPE Phase II-Sustainable Opportunities for Improving Livelihoods Project",Earth and Environmental Sciences,Landscape,AGROVOC,http://aims.fao.org/aos/agrovoc/c_4185
53089,https://doi.org/10.7910/DVN/28944,2015-02-19,"Land and Soil Health Assessment in the Maringa-Lopori-Wamba (MLW) Landscape, Djolu, Yamboyo, DRC as part of the CARPE Phase II-Sustainable Opportunities for Improving Livelihoods Project",Earth and Environmental Sciences,DRC,,
53089,https://doi.org/10.7910/DVN/28944,2015-02-19,"Land and Soil Health Assessment in the Maringa-Lopori-Wamba (MLW) Landscape, Djolu, Yamboyo, DRC as part of the CARPE Phase II-Sustainable Opportunities for Improving Livelihoods Project",Earth and Environmental Sciences,LDSF,,
53089,https://doi.org/10.7910/DVN/28944,2015-02-19,"Land and Soil Health Assessment in the Maringa-Lopori-Wamba (MLW) Landscape, Djolu, Yamboyo, DRC as part of the CARPE Phase II-Sustainable Opportunities for Improving Livelihoods Project",Earth and Environmental Sciences,Africa,CIAT Region,
53089,https://doi.org/10.7910/DVN/28944,2015-02-19,"Land and Soil Health Assessment in the Maringa-Lopori-Wamba (MLW) Landscape, Djolu, Yamboyo, DRC as part of the CARPE Phase II-Sustainable Opportunities for Improving Livelihoods Project",Earth and Environmental Sciences,Soils,CIAT Research Area,
53090,https://doi.org/10.7910/DVN/25646,2014-05-02,Analysis of threats to South American flora and its implications for conservation,Earth and Environmental Sciences,Biodiversity,AGROVOC,http://aims.fao.org/aos/agrovoc/c_33949
53090,https://doi.org/10.7910/DVN/25646,2014-05-02,Analysis of threats to South American flora and its implications for conservation,Earth and Environmental Sciences,South America,AGROVOC,http://aims.fao.org/aos/agrovoc/c_7253
53090,https://doi.org/10.7910/DVN/25646,2014-05-02,Analysis of threats to South American flora and its implications for conservation,Earth and Environmental Sciences,Anthropogenic threat,,
53090,https://doi.org/10.7910/DVN/25646,2014-05-02,Analysis of threats to South American flora and its implications for conservation,Earth and Environmental Sciences,Conservation,AGROVOC,http://aims.fao.org/aos/agrovoc/c_7427
53090,https://doi.org/10.7910/DVN/25646,2014-05-02,Analysis of threats to South American flora and its implications for conservation,Earth and Environmental Sciences,Latin America and the Caribbean,CIAT Region,
53090,https://doi.org/10.7910/DVN/25646,2014-05-02,Analysis of threats to South American flora and its implications for conservation,Earth and Environmental Sciences,Decision and Policy Analysis - DAPA,CIAT Research Area,
53091,https://doi.org/10.7910/DVN/29206,2015-05-13,"Replication Data for: Historical climate trends, deforestation, and maize and bean yields in Nicaragua",Earth and Environmental Sciences,Climate change,AGROVOC,http://aims.fao.org/aos/agrovoc/c_1666
53091,https://doi.org/10.7910/DVN/29206,2015-05-13,"Replication Data for: Historical climate trends, deforestation, and maize and bean yields in Nicaragua",Earth and Environmental Sciences,Crop yield,AGROVOC,http://aims.fao.org/aos/agrovoc/c_10176
53091,https://doi.org/10.7910/DVN/29206,2015-05-13,"Replication Data for: Historical climate trends, deforestation, and maize and bean yields in Nicaragua",Earth and Environmental Sciences,Central America,AGROVOC,http://aims.fao.org/aos/agrovoc/c_1434
53091,https://doi.org/10.7910/DVN/29206,2015-05-13,"Replication Data for: Historical climate trends, deforestation, and maize and bean yields in Nicaragua",Earth and Environmental Sciences,Statistical crop-weather models,,
53091,https://doi.org/10.7910/DVN/29206,2015-05-13,"Replication Data for: Historical climate trends, deforestation, and maize and bean yields in Nicaragua",Earth and Environmental Sciences,Maize,AGROVOC,http://aims.fao.org/aos/agrovoc/c_12332
53091,https://doi.org/10.7910/DVN/29206,2015-05-13,"Replication Data for: Historical climate trends, deforestation, and maize and bean yields in Nicaragua",Earth and Environmental Sciences,Beans,AGROVOC,http://aims.fao.org/aos/agrovoc/c_331566
53091,https://doi.org/10.7910/DVN/29206,2015-05-13,"Replication Data for: Historical climate trends, deforestation, and maize and bean yields in Nicaragua",Earth and Environmental Sciences,Latin America and the Caribbean,CIAT Region,
53091,https://doi.org/10.7910/DVN/29206,2015-05-13,"Replication Data for: Historical climate trends, deforestation, and maize and bean yields in Nicaragua",Earth and Environmental Sciences,Decision and Policy Analysis - DAPA,CIAT Research Area,
53092,https://doi.org/10.7910/DVN/27504,2014-10-16,Failed Season drought probability,Earth and Environmental Sciences,Drought,AGROVOC,http://aims.fao.org/aos/agrovoc/c_2391
53092,https://doi.org/10.7910/DVN/27504,2014-10-16,Failed Season drought probability,Earth and Environmental Sciences,Latin America and the Caribbean,CIAT Region,
53092,https://doi.org/10.7910/DVN/27504,2014-10-16,Failed Season drought probability,Earth and Environmental Sciences,Decision and Policy Analysis - DAPA,CIAT Research Area,
53093,https://doi.org/10.7910/DVN/YRNT5B,2013-05-23,Establishing Fungal Entomopathogens as Endophytes: Towards Endophytic Biological Control,Earth and Environmental Sciences,Beans,AGROVOC,http://aims.fao.org/aos/agrovoc/c_331566
53093,https://doi.org/10.7910/DVN/YRNT5B,2013-05-23,Establishing Fungal Entomopathogens as Endophytes: Towards Endophytic Biological Control,Earth and Environmental Sciences,Entomopathogen,AGROVOC,http://aims.fao.org/aos/agrovoc/c_34819
53093,https://doi.org/10.7910/DVN/YRNT5B,2013-05-23,Establishing Fungal Entomopathogens as Endophytes: Towards Endophytic Biological Control,Earth and Environmental Sciences,Pest control,AGROVOC,http://aims.fao.org/aos/agrovoc/c_5726
53093,https://doi.org/10.7910/DVN/YRNT5B,2013-05-23,Establishing Fungal Entomopathogens as Endophytes: Towards Endophytic Biological Control,Earth and Environmental Sciences,Agriculture,AGROVOC,http://aims.fao.org/aos/agrovoc/c_203
53093,https://doi.org/10.7910/DVN/YRNT5B,2013-05-23,Establishing Fungal Entomopathogens as Endophytes: Towards Endophytic Biological Control,Earth and Environmental Sciences,Fungi,AGROVOC,http://aims.fao.org/aos/agrovoc/c_3145
53093,https://doi.org/10.7910/DVN/YRNT5B,2013-05-23,Establishing Fungal Entomopathogens as Endophytes: Towards Endophytic Biological Control,Earth and Environmental Sciences,Latin America and the Caribbean,CIAT Region,
53093,https://doi.org/10.7910/DVN/YRNT5B,2013-05-23,Establishing Fungal Entomopathogens as Endophytes: Towards Endophytic Biological Control,Earth and Environmental Sciences,Agrobiodiversity - AGBIO,CIAT Research Area,
53094,https://doi.org/10.7910/DVN/27503,2014-10-15,Climate Regions of Cassava in Africa,Earth and Environmental Sciences,Manihot esculenta,AGROVOC,http://aims.fao.org/aos/agrovoc/c_4579
53094,https://doi.org/10.7910/DVN/27503,2014-10-15,Climate Regions of Cassava in Africa,Earth and Environmental Sciences,Africa,AGROVOC,http://aims.fao.org/aos/agrovoc/c_165
53094,https://doi.org/10.7910/DVN/27503,2014-10-15,Climate Regions of Cassava in Africa,Earth and Environmental Sciences,Climate,AGROVOC,http://aims.fao.org/aos/agrovoc/c_1665
53094,https://doi.org/10.7910/DVN/27503,2014-10-15,Climate Regions of Cassava in Africa,Earth and Environmental Sciences,Agroecology,AGROVOC,http://aims.fao.org/aos/agrovoc/c_92381
53094,https://doi.org/10.7910/DVN/27503,2014-10-15,Climate Regions of Cassava in Africa,Earth and Environmental Sciences,Africa,CIAT Region,
53094,https://doi.org/10.7910/DVN/27503,2014-10-15,Climate Regions of Cassava in Africa,Earth and Environmental Sciences,Agrobiodiversity - AGBIO,CIAT Research Area,
53094,https://doi.org/10.7910/DVN/27503,2014-10-15,Climate Regions of Cassava in Africa,Earth and Environmental Sciences,Decision and Policy Analysis - DAPA,CIAT Research Area,
53095,https://doi.org/10.7910/DVN/27487,2014-10-15,"Germplasm Collection Gaps and Species Richness of Wild Relatives of Important Root, Tuber and Banana Crops.",Earth and Environmental Sciences,Phaseolus vulgaris,AGROVOC,http://aims.fao.org/aos/agrovoc/c_5767
53095,https://doi.org/10.7910/DVN/27487,2014-10-15,"Germplasm Collection Gaps and Species Richness of Wild Relatives of Important Root, Tuber and Banana Crops.",Earth and Environmental Sciences,Plant breeding,AGROVOC,http://aims.fao.org/aos/agrovoc/c_5956
53095,https://doi.org/10.7910/DVN/27487,2014-10-15,"Germplasm Collection Gaps and Species Richness of Wild Relatives of Important Root, Tuber and Banana Crops.",Earth and Environmental Sciences,Genetic resources,AGROVOC,http://aims.fao.org/aos/agrovoc/c_3218
53095,https://doi.org/10.7910/DVN/27487,2014-10-15,"Germplasm Collection Gaps and Species Richness of Wild Relatives of Important Root, Tuber and Banana Crops.",Earth and Environmental Sciences,Gene pools,AGROVOC,http://aims.fao.org/aos/agrovoc/c_3212
53095,https://doi.org/10.7910/DVN/27487,2014-10-15,"Germplasm Collection Gaps and Species Richness of Wild Relatives of Important Root, Tuber and Banana Crops.",Earth and Environmental Sciences,Wild plants,AGROVOC,http://aims.fao.org/aos/agrovoc/c_24126
53095,https://doi.org/10.7910/DVN/27487,2014-10-15,"Germplasm Collection Gaps and Species Richness of Wild Relatives of Important Root, Tuber and Banana Crops.",Earth and Environmental Sciences,Taxa,AGROVOC,http://aims.fao.org/aos/agrovoc/c_7624
53095,https://doi.org/10.7910/DVN/27487,2014-10-15,"Germplasm Collection Gaps and Species Richness of Wild Relatives of Important Root, Tuber and Banana Crops.",Earth and Environmental Sciences,Latin America and the Caribbean,CIAT Region,
53095,https://doi.org/10.7910/DVN/27487,2014-10-15,"Germplasm Collection Gaps and Species Richness of Wild Relatives of Important Root, Tuber and Banana Crops.",Earth and Environmental Sciences,Decision and Policy Analysis - DAPA,CIAT Research Area,
53096,https://doi.org/10.7910/DVN/27604,2014-10-15,"Replication data for: The Cassava Mealybug (Phenacoccus manihoti) in Asia: First Records, Potential Distribution, and an Identification Key",Earth and Environmental Sciences,Manihot esculenta,AGROVOC,http://aims.fao.org/aos/agrovoc/c_4579
53096,https://doi.org/10.7910/DVN/27604,2014-10-15,"Replication data for: The Cassava Mealybug (Phenacoccus manihoti) in Asia: First Records, Potential Distribution, and an Identification Key",Earth and Environmental Sciences,Climate,AGROVOC,http://aims.fao.org/aos/agrovoc/c_1665
53096,https://doi.org/10.7910/DVN/27604,2014-10-15,"Replication data for: The Cassava Mealybug (Phenacoccus manihoti) in Asia: First Records, Potential Distribution, and an Identification Key",Earth and Environmental Sciences,Ecology,AGROVOC,http://aims.fao.org/aos/agrovoc/c_2467
53096,https://doi.org/10.7910/DVN/27604,2014-10-15,"Replication data for: The Cassava Mealybug (Phenacoccus manihoti) in Asia: First Records, Potential Distribution, and an Identification Key",Earth and Environmental Sciences,Pest control,AGROVOC,http://aims.fao.org/aos/agrovoc/c_5726
53096,https://doi.org/10.7910/DVN/27604,2014-10-15,"Replication data for: The Cassava Mealybug (Phenacoccus manihoti) in Asia: First Records, Potential Distribution, and an Identification Key",Earth and Environmental Sciences,Asia,AGROVOC,http://aims.fao.org/aos/agrovoc/c_666
53096,https://doi.org/10.7910/DVN/27604,2014-10-15,"Replication data for: The Cassava Mealybug (Phenacoccus manihoti) in Asia: First Records, Potential Distribution, and an Identification Key",Earth and Environmental Sciences,China,AGROVOC,http://aims.fao.org/aos/agrovoc/c_1556
53096,https://doi.org/10.7910/DVN/27604,2014-10-15,"Replication data for: The Cassava Mealybug (Phenacoccus manihoti) in Asia: First Records, Potential Distribution, and an Identification Key",Earth and Environmental Sciences,India,AGROVOC,http://aims.fao.org/aos/agrovoc/c_3825
53096,https://doi.org/10.7910/DVN/27604,2014-10-15,"Replication data for: The Cassava Mealybug (Phenacoccus manihoti) in Asia: First Records, Potential Distribution, and an Identification Key",Earth and Environmental Sciences,Indonesia,AGROVOC,http://aims.fao.org/aos/agrovoc/c_3840
