dataset_id,persistentUrl,publicationdate,title,subject,keywordValue,keywordVocabulary,keywordVocabularyURI
2700257,https://doi.org/10.7910/DVN/8J0V6I,2016-01-08,Assessing Farm-Level Impact of GIFT in China,Social Sciences,GIFT,,
2700257,https://doi.org/10.7910/DVN/8J0V6I,2016-01-08,Assessing Farm-Level Impact of GIFT in China,Social Sciences,Tilapia,AGROVOC,http://aims.fao.org/aos/agrovoc/c_32720
2700257,https://doi.org/10.7910/DVN/8J0V6I,2016-01-08,Assessing Farm-Level Impact of GIFT in China,Social Sciences,Impact Evaluation,,
2700261,https://doi.org/10.7910/DVN/KUVQKY,2016-01-08,Coral Bleaching Data,Earth and Environmental Sciences,Coral Bleaching,,
2700261,https://doi.org/10.7910/DVN/KUVQKY,2016-01-08,Coral Bleaching Data,Earth and Environmental Sciences,Coral Reefs,AGROVOC,http://aims.fao.org/aos/agrovoc/c_1880
2771222,https://doi.org/10.7910/DVN/TUVQ0I,2016-01-08,Lesser Sunda - Banda Seascape Boundary,Earth and Environmental Sciences,Seascape Boundary,,
2771222,https://doi.org/10.7910/DVN/TUVQ0I,2016-01-08,Lesser Sunda - Banda Seascape Boundary,Earth and Environmental Sciences,Lesser Sunda - Banda,,
2771224,https://doi.org/10.7910/DVN/1OCLDP,2016-01-08,Lesser Sunda - Banda Sub Seascape Boundary,Earth and Environmental Sciences,Sub Seascape Boundary,,
2771224,https://doi.org/10.7910/DVN/1OCLDP,2016-01-08,Lesser Sunda - Banda Sub Seascape Boundary,Earth and Environmental Sciences,Lesser Sunda - Banda,,
2771228,https://doi.org/10.7910/DVN/9CNTYS,2016-01-08,Lesser Sunda-Banda Average Sea Surface Temperature,Earth and Environmental Sciences,Sea Surface Temperature,,
2771228,https://doi.org/10.7910/DVN/9CNTYS,2016-01-08,Lesser Sunda-Banda Average Sea Surface Temperature,Earth and Environmental Sciences,SST,,
3154277,https://doi.org/10.7910/DVN/FL9DDZ,2018-05-15,Replication Data for: Urban Lusaka Food Consumption and Nutrition Survey: Role of Fish in Diets of Vulnerable groups,Social Sciences,Fish Consumption,GACS,http://id.agrisemantics.org/gacs/C30047
3154277,https://doi.org/10.7910/DVN/FL9DDZ,2018-05-15,Replication Data for: Urban Lusaka Food Consumption and Nutrition Survey: Role of Fish in Diets of Vulnerable groups,Social Sciences,Dietary Diversity,,
3154277,https://doi.org/10.7910/DVN/FL9DDZ,2018-05-15,Replication Data for: Urban Lusaka Food Consumption and Nutrition Survey: Role of Fish in Diets of Vulnerable groups,Social Sciences,Anthropometry,AGROVOC,http://aims.fao.org/aos/agrovoc/c_36003
3154277,https://doi.org/10.7910/DVN/FL9DDZ,2018-05-15,Replication Data for: Urban Lusaka Food Consumption and Nutrition Survey: Role of Fish in Diets of Vulnerable groups,Social Sciences,Urban Poor,,
3154517,https://doi.org/10.7910/DVN/GA3MVL,2018-05-20,Blue Economy Challenge - Bangladesh,Agricultural Sciences,Fish feeds,,
3154517,https://doi.org/10.7910/DVN/GA3MVL,2018-05-20,Blue Economy Challenge - Bangladesh,Agricultural Sciences,Aquafeeds,,
3154517,https://doi.org/10.7910/DVN/GA3MVL,2018-05-20,Blue Economy Challenge - Bangladesh,Agricultural Sciences,Fish nutrition,,
3172845,https://doi.org/10.7910/DVN/DF1EPV,2018-06-05,Assessment of Informal Cross Border Fish Trade in the Southern African Region: A case of Zambia and Malawi,Social Sciences,Informal fish trade,,
3172845,https://doi.org/10.7910/DVN/DF1EPV,2018-06-05,Assessment of Informal Cross Border Fish Trade in the Southern African Region: A case of Zambia and Malawi,Social Sciences,Small Pelagic Species,,
3172845,https://doi.org/10.7910/DVN/DF1EPV,2018-06-05,Assessment of Informal Cross Border Fish Trade in the Southern African Region: A case of Zambia and Malawi,Social Sciences,Malawi,AGROVOC,http://aims.fao.org/aos/agrovoc/c_4532
3172845,https://doi.org/10.7910/DVN/DF1EPV,2018-06-05,Assessment of Informal Cross Border Fish Trade in the Southern African Region: A case of Zambia and Malawi,Social Sciences,Zambia,AGROVOC,http://aims.fao.org/aos/agrovoc/c_8501
3202210,https://doi.org/10.7910/DVN/PWC5EY,2018-08-02,Replication Data for: Labeo rohita DArTseq silicoDArT and Single Nucleotide Polymorphism (SNP) markers (Report-DRoh16-2085),Other,Genomics,(AGROVOC),http://aims.fao.org/aos/agrovoc/c_92382
3202210,https://doi.org/10.7910/DVN/PWC5EY,2018-08-02,Replication Data for: Labeo rohita DArTseq silicoDArT and Single Nucleotide Polymorphism (SNP) markers (Report-DRoh16-2085),Other,Genetic polymorphism,(AGROVOC),http://aims.fao.org/aos/agrovoc/c_24031
3202210,https://doi.org/10.7910/DVN/PWC5EY,2018-08-02,Replication Data for: Labeo rohita DArTseq silicoDArT and Single Nucleotide Polymorphism (SNP) markers (Report-DRoh16-2085),Other,Animal breeding,(AGROVOC),http://aims.fao.org/aos/agrovoc/c_423
3202210,https://doi.org/10.7910/DVN/PWC5EY,2018-08-02,Replication Data for: Labeo rohita DArTseq silicoDArT and Single Nucleotide Polymorphism (SNP) markers (Report-DRoh16-2085),Other,Bangladesh,(AGROVOC),http://aims.fao.org/aos/agrovoc/c_810
3202210,https://doi.org/10.7910/DVN/PWC5EY,2018-08-02,Replication Data for: Labeo rohita DArTseq silicoDArT and Single Nucleotide Polymorphism (SNP) markers (Report-DRoh16-2085),Other,Labeo rohita,(AGROVOC),http://aims.fao.org/aos/agrovoc/c_34683
3205018,https://doi.org/10.7910/DVN/A3LQXH,2018-08-07,Cross-Boder Trade of Marine Cured Fish Products Imported From Joal-Fadiouth (Senegal) and Korhogo (Cote D’ivoire),Social Sciences,,,
3205023,https://doi.org/10.7910/DVN/GV0CML,2018-08-07,Informal Cross-Border Artisanal Fish Trade in West Africa,Social Sciences,Informal fish trade,,
